collaboration,description,difficulty,duration,free,id_course,n_reviews,rating,school,skills,title,url,language,time_range
Cloudera,"The Apache™ Hadoop® project develops open-source software for reliable, scalable, distributed computing. Learn the fundamental principles behind it, and how you can use its power to make sense of your Big Data.",intermediate,40.0,1,ud617,0,,School of Artificial Intelligence,"Big Data, Hadoop, MapReduce",Intro to Hadoop and MapReduce,https://www.udacity.com/course/intro-to-hadoop-and-mapreduce--ud617,English,month
Georgia Institute of Technology,"This course introduces students to the real world challenges of implementing machine learning based trading strategies including the algorithmic steps from information gathering to market orders. The focus is on how to apply probabilistic machine learning approaches to trading decisions. We consider statistical approaches like linear regression, KNN and regression trees and how to apply them to actual stock trading situations.",intermediate,160.0,1,ud501,0,,School of Artificial Intelligence,"Pandas, Time Series Analysis, Computational Investing, Algorithmic Trading, Reinforcement Learning for Trading",Machine Learning for Trading,https://www.udacity.com/course/machine-learning-for-trading--ud501,English,months
Twitter,"The world is trending in real time!  Learn from Twitter to scalably process tweets, or any big data stream, in real-time to drive d3 visualizations using Apache Storm, the ""Hadoop of Real Time.""  Storm is free, open source, and fun to use!  Learn from Karthik Ramasamy, Technical Lead of Storm@Twitter, about the distributed, fault-tolerant, and flexible technology used to power Twitter’s real-time data flow pipeline.  Twitter open sourced Storm in 2011, and it graduated to a top-level Apache project in September, 2014.  ,Starting from basic distributed concepts presented during our first Udacity-Twitter Storm Hackathon, link Storm concepts to Storm syntax to scalably drive Word Cloud visualizations with Vagrant, Ubuntu, Maven, Flask, Redis, and d3.  Link to the public Twitter gardenhose stream to process live tweets, parse embedded URLs, and calculate Top worldwide hashtags.  Extend beyond Storm basics by exploring multi-language capabilities in Python, integrate open source components, and implement real-time streaming joins.,In your final project, follow real-time trending topics by implementing the data pipeline to visualize only tweets that contain Top worldwide hashtags.  Extend your project by exploring the Twitter API, or any data source, alongside Hackathon participants as they design their own ideas, receive feedback from Karthik, and open source a final project calculating real-time tweet sentiment and geolocation to drive a U.S. Map.",intermediate,20.0,1,ud381,0,,School of Artificial Intelligence,"Data Analysis, Real-time Analytics, Apache Storm",Real-Time Analytics with Apache Storm,https://www.udacity.com/course/real-time-analytics-with-apache-storm--ud381,English,weeks
Google,"This course will cover the design and analysis of A/B tests, also known as split tests, which are online experiments used to test potential improvements to a website or mobile application. Two versions of the website are shown to different users - usually the existing website and a potential change. Then, the results are analyzed to determine whether the change is an improvement worth launching. This course will cover how to choose and characterize metrics to evaluate your experiments, how to design an experiment with enough statistical power, how to analyze the results and draw valid conclusions, and how to ensure that the the participants of your experiments are adequately protected.",,40.0,1,ud257,0,,School of Artificial Intelligence,,A/B Testing,https://www.udacity.com/course/ab-testing--ud257,English,month
Georgia Institute of Technology,"Machine Learning is a graduate-level course covering the area of Artificial Intelligence concerned with computer programs that modify and improve their performance through experiences. ,The first part of the course covers Supervised Learning, a machine learning task that makes it possible for your phone to recognize your voice, your email to filter spam, and for computers to learn a bunch of other cool stuff.,In part two, you will learn about Unsupervised Learning. Ever wonder how Netflix can predict what movies you'll like? Or how Amazon knows what you want to buy before you do? Such answers can be found in this section!,Finally, can we program machines to learn like humans? This Reinforcement Learning section will teach you the algorithms for designing self-learning agents like us!",intermediate,160.0,1,ud262,0,,School of Artificial Intelligence,"Supervised Learning, Unsupervised Learning, Information Theory, Reinforcement Learning, Game Theory",Machine Learning,https://www.udacity.com/course/machine-learning--ud262,English,months
Zipfian,"Learn the fundamentals of data visualization and practice communicating with data. This course covers how to apply design principles, human perception, color theory, and effective storytelling to data visualization. If you present data to others, aspire to be an analyst or data scientist, or if you’d like to become more technical with visualization tools, then you can grow your skills with this course.,The course does not cover exploratory approaches to discover insights about data. Instead, the course focuses on how to visually encode and present data to an audience once an insight has been found.,This course is part of the ,.",intermediate,70.0,1,ud507,0,,School of Artificial Intelligence,"d3.js, Design of Visualizations, Data Visualization, Visual Encodings",Data Visualization and D3.js,https://www.udacity.com/course/data-visualization-and-d3js--ud507,English,weeks
Facebook AI,"What’s the earliest we can predict cancer survival rates, and what schools do the best job of educating children? You can only answer these questions with very rare access to private and personal data, but access to this personal data requires that you master methods for the principled protection of user privacy. While not all privacy use cases have been solved, the last few years have seen great strides in privacy-preserving technologies.,This free course will introduce you to three cutting-edge technologies for privacy-preserving AI: Federated Learning, Differential Privacy, and Encrypted Computation. You will learn how to use the newest privacy-preserving technologies, such as OpenMined's PySyft. PySyft extends Deep Learning tools—such as PyTorch—with the cryptographic and distributed technologies necessary to ,We encourage you to enter the , to both take the course and have a chance to win a scholarship for the Deep Learning or Computer Vision Nanodegree programs.",advanced,80.0,1,ud185,0,,School of Artificial Intelligence,,Secure and Private AI,https://www.udacity.com/course/secure-and-private-ai--ud185,English,months
Georgia Institute of Technology,"Learn about the fundamentals of Artificial Intelligence in this introductory graduate-level course. It provides a survey of various topics in the field along with in-depth discussion of foundational concepts such as classical search, probability, machine learning, logic and planning.",intermediate,160.0,1,ud954,0,,School of Artificial Intelligence,"Artificial Intelligence, Probability, Bayesian Networks, Logic and Planning, Machine Learning",Artificial Intelligence,https://www.udacity.com/course/artificial-intelligence--ud954,English,months
,Stay at the cutting-edge of AI technology by gaining practical skills for deploying edge AI. Learn how to use the Intel® Distribution of the OpenVINO™ toolkit to deploy computer vision capabilities inside a range of edge applications. Leverage the potential of edge computing and use the Intel® Distribution of the OpenVINO™ toolkit to fast-track development of high-performance computer vision and deep learning inference applications.,intermediate,40.0,1,ud132,0,,School of Artificial Intelligence,"Edge AI, Intel OpenVINO, Computer Vision, Deep Learning",Intel® Edge AI Fundamentals with OpenVINO™,https://www.udacity.com/course/intel-edge-AI-fundamentals-with-openvino--ud132,English,month
,"Statistics is an important field of math that is used to analyze, interpret, and predict outcomes from data. Descriptive statistics will teach you the basic concepts used to describe data. This is a great beginner course for those interested in Data Science, Economics, Psychology, Machine Learning, Sports analytics and just about any other field.",beginner,80.0,1,ud827,0,,School of Artificial Intelligence,"Descriptive Statistics, Estimation, Central Limit Theorem",Intro to Descriptive Statistics,https://www.udacity.com/course/intro-to-descriptive-statistics--ud827,English,months
