collaboration,description,difficulty,duration_hours,duration_weeks,free,id_course,n_reviews,new,rating,school,skills,title,url
San Jose State University,,beginner,,"Approx., ,4, ,months, ",[True],st095,,[False],,School of Programming & Development,"Statistical Research Methods, Data Visualization, Distributions, Hypothesis Testing, Regression",Statistics,https://www.udacity.com/course/statistics--st095
,,beginner,,"Approx., ,1, ,weeks, ",[True],ud104,,[False],,School of Artificial Intelligence,"Linear Algebra, Eigenvectors, Eigenvalues",Eigenvectors and Eigenvalues,https://www.udacity.com/course/eigenvectors-and-eigenvalues--ud104
," In this course, you'll learn the fundamentals of the Python programming language, along with programming best practices. You’ll learn to represent and store data using Python data types and variables, and use conditionals and loops to control the flow of your programs. You’ll harness the power of complex data structures like lists, sets, dictionaries, and tuples to store collections of related data. You’ll define and document your own custom functions, write scripts, and handle errors. Lastly, you’ll learn to find and use modules in the Python Standard Library and other third-party libraries. ",beginner,, Approx. 5 Weeks ,[False],ud1110,,[True],,School of Programming & Development,,Introduction to Python Programming,https://www.udacity.com/course/introduction-to-python--ud1110
,,intermediate,,"Approx., ,1, ,weeks, ",[True],ud1038,,[False],,School of Programming & Development,"iOS, Image Classification, Core ML",Core ML: Machine Learning for iOS,https://www.udacity.com/course/core-ml--ud1038
,,,,"Approx., ,1, ,days, ",[True],ud206,,[False],,School of Programming & Development,,Shell Workshop,https://www.udacity.com/course/shell-workshop--ud206
,,beginner,,"Approx., ,2, ,months, ",[True],ph100,,[False],,School of Programming & Development,"Kinematics, Dynamics, Trigonometry, Periodic Motion, Electricity",Intro to Physics,https://www.udacity.com/course/intro-to-physics--ph100
Georgia Institute of Technology,,intermediate,,"Approx., ,16, ,weeks, ",[True],ud150,,[False],,School of Autonomous Systems,"Database Management Systems, Relational Algebra, Sequential Query Language, Data Indexing, SQL Injection",Database Systems Concepts & Design,https://www.udacity.com/course/database-systems-concepts-design--ud150
,,beginner,,"Approx., ,2, ,weeks, ",[True],ud256,,[False],,School of Programming & Development,"HTTP, Domain Name System, Ping, TCP/IP stack, IP addressing",Networking for Web Developers,https://www.udacity.com/course/networking-for-web-developers--ud256
,,intermediate,,"Approx., ,1, ,weeks, ",[True],ud270,,[False],,School of Programming & Development,"Ruby, Sinatra, MVC Design Pattern, Writing organized code",The MVC Pattern in Ruby,https://www.udacity.com/course/the-mvc-pattern-in-ruby--ud270
,,intermediate,,"Approx., ,1, ,week, ",[False],ud252,,[True],,Career Advancement,"Interview practice, Common FS Questions, Whiteboarding, Career Advancement",Full-Stack Interview Prep,https://www.udacity.com/course/full-stack-interview-prep--ud252
Georgia Institute of Technology," Learn how to program all the major systems of a robotic car. Topics include planning, search, localization, tracking, and control. ",advanced,, Approx. 2 Months ,[True],cs373,,[False],,School of Artificial Intelligence,"Probabilistic Models, Kalman Filters, Motion Planning, Robot Control, Simultaneous Localization & Mapping",Artificial Intelligence for Robotics,https://www.udacity.com/course/artificial-intelligence-for-robotics--cs373
,,intermediate,,"Approx., ,1, ,week, ",[False],ud240,,[True],,Career Advancement,"Interview practice, Common iOS Questions, Whiteboarding, Career Advancement",iOS Interview Prep,https://www.udacity.com/course/ios-interview-prep--ud240
,,beginner,,"Approx., ,4, ,weeks, ",[False],ud667,,[True],,School of Programming & Development,WeChat,WeChat Mini Program Development,https://www.udacity.com/course/wechat-mini-programs--ud667
,,beginner,,"Approx., ,4, ,weeks, ",[True],ud123,,[False],,School of Programming & Development,"Git, Version Control, Creating a Git repo, Editing commits",Version Control with Git,https://www.udacity.com/course/version-control-with-git--ud123
AWS DeepRacer,,intermediate,,"Approx., ,2, ,weeks, ",[False],ud014,,[True],,School of Artificial Intelligence,"Machine Learning, Reinforcement Learning, AWS DeepRacer",AWS DeepRacer,https://www.udacity.com/course/aws-deepracer--ud014
Facebook for Developers,,intermediate,,"Approx., ,1, ,weeks, ",[True],ud1028,,[False],,School of Programming & Development,"Account Kit, Facebook SDK, Graph API",Passwordless Login Solutions for iOS,https://www.udacity.com/course/passwordless-login-solutions-for-ios--ud1028
Georgia Institute of Technology,,advanced,,"Approx., ,5, ,weeks, ",[True],ud189,,[False],,School of Programming & Development,"Operating System Kernels, Virtualization, Distributed Systems, Cloud Computing, Real-Time Operating Systems",Advanced Operating Systems,https://www.udacity.com/course/advanced-operating-systems--ud189
,,advanced,,"Approx., ,0, , ",[True],ud061,,[False],,School of Programming & Development,Georgia Institute of Technology,"Computability, Complexity & Algorithms",https://www.udacity.com/course/computability-complexity-algorithms--ud061
