title,description
intro to descriptive statistics,"statistics is an important field of math that is used to analyze, interpret, and predict outcomes from data. descriptive statistics will teach you the basic concepts used to describe data. this is a great beginner course for those interested in data science, economics, psychology, machine learning, sports analytics and just about any other field."
linear algebra refresher course,"this mini-course is intended for students who would like a refresher on the basics of linear algebra. the course attempts to provide the motivation for ""why"" linear algebra is important in addition to ""what"" linear algebra is.,students will learn concepts in linear algebra by applying them in computer programs. at the end of the course, you will have coded your own personal library of linear algebra functions that you can use to solve real-world problems."
model building and validation,"this course will teach you how to start from scratch in answering questions about the real world using data. machine learning happens to be a small part of this process. the model building process involves setting up ways of collecting data, understanding and paying attention to what is important in the data to answer the questions you are asking, finding a statistical, mathematical or a simulation model to gain understanding and make predictions. ,all of these things are equally important and model building is a crucial skill to acquire in every field of science. the process stays true to the scientific method, making what you learn through your models useful for gaining an understanding of whatever you are investigating as well as make predictions that hold true to test. ,we will take you on a journey through building various models. this process involves asking questions, gathering and manipulating data, building models, and ultimately testing and evaluating them."
self-driving fundamentals: featuring apollo ,"through this course, you will be able to identify key parts of self-driving cars and get to know apollo architecture. you will be able to utilize apollo hd map, localization, perception, prediction, planning and control, and start the learning path of building a self-driving car. "
cyber-physical systems design & analysis,"cyber-physical systems, such as automobiles, cars, and medical devices, comprise both a physical part and a software part, whereby the physical part of the system sends information about itself to the software part, and the software sends information, usually in the form of commands, to the physical part. ,physical systems have ""a life of their own,"" and they can often harm operators and/or cost a fortune to repair, the development of programs that control these systems cannot rely on ""trial and error,"" and they must consider in-depth the role of the human operator. ,this course introduces the principles, tools, models, and processes essential to cyber-physical system development, such as model-based development methods, basics of feedback for task scheduling, modern verification, and validation techniques, and their integration in today's industrial development processes."
differential equations in action,"in this course, you'll hone your problem-solving skills through learning to find numerical solutions to systems of differential equations. you'll write code in python to fight forest fires, rescue the apollo 13 astronauts, stop the spread of epidemics, and resolve other real-world dilemmas."
intro to cloud computing,
machine learning: unsupervised learning,"ever wonder how netflix can predict what movies you'll like? or how amazon knows what you want to buy before you do? the answer can be found in unsupervised learning!,closely related to pattern recognition, unsupervised learning is about analyzing data and looking for patterns. it is an extremely powerful tool for identifying structure in data. this course focuses on how you can use unsupervised learning approaches -- including randomized optimization, clustering, and feature selection and transformation -- to find structure in unlabeled data. ,: machine learning is a graduate-level series of 3 courses, covering the area of artificial intelligence concerned with computer programs that modify and improve their performance through experiences. ,the entire series is taught as an engaging dialogue between two eminent machine learning professors and friends: professor charles isbell (georgia tech) and professor michael littman (brown university)."
hybrid cloud fundamentals,
big data analytics in healthcare,"data science plays an important role in many industries. in facing massive amount of heterogeneous data, scalable machine learning and data mining algorithms and systems become extremely important for data scientists. the growth of volume, complexity and speed in data drives the need for scalable data analytic algorithms and systems. in this course, we study such algorithms and systems in the context of healthcare applications.,in healthcare, large amounts of heterogeneous medical data have become available in various healthcare organizations (payers, providers, pharmaceuticals). this data could be an enabling resource for deriving insights for improving care delivery and reducing waste. the enormity and complexity of these datasets present great challenges in analyses and subsequent applications to a practical clinical environment."
managing remote teams with upwork," as companies embrace remote work, managers need to adopt strategies tailored to globally distributed teams. in this course you'll learn the tools and develop the skills and strategies needed to hire, manage, and optimize remote teams. udacity has developed this course in partnership with upwork, the world's leading professional freelance platform. managing remote teams gives you practical advice on how to build a culture that embraces remote workers and delivers bottomline results for your business. after taking this course, you'll be able to quickly apply remote-team best practices to your existing workforce, or begin building your remote workforce from scratch."
get your startup started,"in this course, you’ll learn how to pitch your business and secure the funding you’ll need to launch your new company. we’ll show you how to write clear, compelling, and targeted mission and vision statements, set quarterly and annual goals, and find mentors, co-founders, and contractors to provide help along the way. this will help you establish a strong foundation for your business and confidently pursue viable funding models, including bootstrapping, crowdsourcing, accelerators, incubators, and more. as the culmination of all of your hard work, you'll complete the course by developing your own unique pitch deck that you can use to secure investment, and launch your business."
how to build a startup,"in an introduction to the basics of the famous customer development process, steve blank provides insight into the key steps needed to build a successful startup. ,the main idea in this course is learning how to rapidly develop and test ideas by gathering massive amounts of customer and marketplace feedback. many startups fail by not validating their ideas early on with real-life customers. in order to mitigate that, students will learn how to get out of the building and search for the real pain points and unmet needs of customers. only with these can the entrepreneur find a proper solution and establish a suitable business model.,building a startup is not simply building an execution plan for a business model that the entrepreneur thinks will work, but rather, a search for the actual business model itself."
app monetization,"there is no higher form of user validation than having customers support your product with their wallets. however, the path to a profitable business is not necessarily an easy one. this course blends instruction with real life examples to help you effectively develop, implement, and measure your monetization strategy, iterating on the model as appropriate."
a/b testing for business analysts,"the a/b testing course provides students with the foundational knowledge to design and analyze a/b tests to create business insights and support decision making. you will learn:,throughout this course you’ll also learn the techniques to apply your knowledge in a data analytics program called alteryx.,this course is part of the business analyst nanodegree."
app marketing,"without customers, your business does not exist. marketing helps you understand your potential user and focus your product on their needs. this course will help you organize a strategy of identifying your perfect user, find ways to connect with them and what you’ll say when you find them. this covers research, planning, execution and most importantly how to grow your user base."
time series forecasting,"the time series forecasting course provides students with the foundational knowledge to build and apply time series forecasting models in a variety of business contexts. you will learn:,throughout this course you’ll also learn the techniques to apply your knowledge in a data analytics program called alteryx.,this course is part of the business analyst nanodegree program."
product design," learn product validation, ui/ux practices, google’s design sprint and the process for setting and tracking actionable metrics. "
segmentation and clustering,"the segmentation and clustering course provides students with the foundational knowledge to build and apply clustering models to develop more sophisticated segmentation in business contexts. you will learn:,throughout this course you’ll also learn the techniques to apply your knowledge in a data analytics program called alteryx.,this course is part of the business analyst nanodegree program."
classification models,the classification models course provides students with the foundational knowledge to use classification models to create business insights. you will learn:
problem solving with advanced analytics,"the problem solving with analytics course provides students with the foundational knowledge to use data analytics to create business insights. ,you will learn: "
creating an analytical dataset,"the creating an analytical dataset course provides students with foundational knowledge to input, clean, blend, and format data in preparation for analysis. you will learn:"
rapid prototyping,"prototyping allows you to spend ten minutes — instead of ten hours — finding an amazing design for your product.  this course will guide you through the iterative process of prototyping an app and conducting user research. you will start by making a low fidelity paper prototype, conducting research with users, and using that research to inform your next iteration. together with invision we’ll guide you through creating interactive prototypes. this means you don’t have to code an app before putting it in front of users! along the way, you’ll learn how and where prototyping fits into your app design process and how you can use prototyping to become a better entrepreneur."
data analysis and visualization,"data and visual analytics is an emerging field concerned with analyzing, modeling, and visualizing complex high dimensional data. ,this course will introduce students to the field by covering state­-of-­the-art modeling, analysis and visualization techniques. it will emphasize practical challenges involving complex real world data and include several case studies and hands-on work with the r programming language."
intro to data analysis," explore a variety of datasets, posing and answering your own questions about each. you'll be using the python libraries numpy, pandas, and matplotlib. "
sql for data analysis, learn to use structured query language (sql) to extract and analyze data stored in databases 
intro to data science,"the introduction to data science class will survey the foundational topics in data science, namely:,the class will focus on breadth and present the topics briefly instead of focusing on a single topic in depth. this will give you the opportunity to sample and apply the basic techniques of data science.,this course is also a part of our , nanodegree."
material design for android developers,"in this course, you'll learn how to apply the material design principles that define android's visual language to your apps. we'll start by walking you through android design fundamentals, then we'll show you how to apply this knowledge to transform design elements of sample apps. by the end of the course, you'll understand how to create and use material design elements, surfaces, transitions and graphics in your app, across multiple form factors."
engagement & monetization | mobile games,"at first it may seem strange to consider monetization before a game is even completed, and many developers leave this as an afterthought. but monetization should be built into the fabric of a game from the beginning, because a clearly defined and understood monetization strategy can have tremendous impact on design decisions made during the development process. this kind of forward-thinking approach is especially important in today’s highly competitive game market, and keeping monetization strategy front-of-mind throughout can be the difference between product success and failure. ,this course will teach you how to make your game stand out in a very crowded field, and encourage people to pay for game features that will define the ultimate success of your product.,currently, most game apps are free to play, and many users are looking for something simple and entertaining without the risk of making a purchase. we'll look at the most successful premium and freemium games, and discuss the most effective strategies for monetization. our goal in this course is to teach students how to design games that produce sustainable revenue over the long-term."
intro to psychology,introduction to psychology is a journey through all of the major psychological concepts and principles. the knowledge gained from this course will allow students to critically evaluate psychological research and have a more in-depth understanding of human thought and behavior.
passwordless login solutions for android,"for an app developer, providing a seamless user experience is critical for building engagement and growing a user base. passwordless login solutions provide your users with a simple, secure, and positive first experience.,in this course, you'll learn two frameworks for sign-up and authentication: account kit, which uses a phone number and code, and facebook login for android. you’ll learn how to configure both types of authentication side by side in a sample app, test the flow on a series of common use cases, and wrap things up with an introduction to facebook’s graph api, a window into an incredible wealth of data for creating a more engaging experience for your users."
google maps apis,"this course will introduce you to the content available through the google maps apis. you’ll be walked through building a real-estate listings site step-by-step, using a beautifully styled google map, data visualization, street view panoramas, and various nifty location related features such as calculating distance between locations, getting directions, and viewing places of interest data.  you’ll also see other examples of google maps apis in action, and understand how to put your new knowledge into practice by creating your own project in the google apis console."
how to make an ios app,"do you have some experience building apps for the iphone or ipad and want to build an app from the ground up, but don't know where to begin? look no further! in this course, you'll learn the process of building an ios app, from brainstorming ideas to publishing on the app store."
intro to devops,"the goal of this course is to take existing it professionals, whether they come from software development or operations, and help them appreciate the challenges facing companies who are looking to embrace scalable software deployment as well as the architectures and thought processes they can use to address these challenges. ,students will start with a presentation of the problem as it stands today, then dive into the devops workflow and a survey of the system architectures currently being used to address this problem."
configuring linux web servers,"in this course you'll learn the basic linux fundamentals every web developer needs to know to share their web applications with the world! you'll get a basic python wsgi application up and running within a vagrant virtual machine that queries data from a postgresql database.,you'll start by exploring various linux distributions and learning the differences between a number of them. you'll then explore how the linux operating system differs from other operating systems you may be more familiar with. with this base knowledge, you'll then move into linux security - covering topics such as file permissions, user management, package management and configuring firewalls. finally, you'll transform a safe and secure baseline server into a web application server by installing and configuring the apache http server and postgresql database server."
